Name,Year,Ranking,Total Goals Scored,Strikers Goals Scored,FW/Total goals,Team Code,Name for URL
B. Jerusalem,2007/08,1,61,12,0.2,3793,beitar-jerusalem
B. Jerusalem,2008/09,3,47,14,0.3,3793,beitar-jerusalem
B. Jerusalem,2009/10,4,46,15,0.33,3793,beitar-jerusalem
B. Jerusalem,2010/11,10,30,9,0.3,3793,beitar-jerusalem
B. Jerusalem,2011/12,11,22,7,0.32,3793,beitar-jerusalem
B. Jerusalem,2012/13,8,36,7,0.19,3793,beitar-jerusalem
B. Jerusalem,2013/14,9,21,4,0.19,3793,beitar-jerusalem
B. Jerusalem,2014/15,4,38,6,0.16,3793,beitar-jerusalem
B. Jerusalem,2015/16,3,38,11,0.29,3793,beitar-jerusalem
B. Jerusalem,2016/17,4,34,9,0.26,3793,beitar-jerusalem
B. Jerusalem,2017/18,2,60,9,0.15,3793,beitar-jerusalem
B. Jerusalem,2018/19,11,32,5,0.16,3793,beitar-jerusalem
B. Jerusalem,2019/20,3,42,6,0.14,3793,beitar-jerusalem
B. Jerusalem,2020/21,8,31,9,0.29,3793,beitar-jerusalem
B. Jerusalem,2021/22,12,23,10,0.43,3793,beitar-jerusalem
Bnei Sakhnin,2007/08,4,35,10,0.29,4769,ihud-bnei-sachnin
Bnei Sakhnin,2008/09,9,26,6,0.23,4769,ihud-bnei-sachnin
Bnei Sakhnin,2009/10,7,28,3,0.11,4769,ihud-bnei-sachnin
Bnei Sakhnin,2010/11,15,19,3,0.16,4769,ihud-bnei-sachnin
Bnei Sakhnin,2011/12,3,49,12,0.24,4769,ihud-bnei-sachnin
Bnei Sakhnin,2012/13,12,25,4,0.16,4769,ihud-bnei-sachnin
Bnei Sakhnin,2013/14,5,30,10,0.33,4769,ihud-bnei-sachnin
Bnei Sakhnin,2014/15,9,32,13,0.41,4769,ihud-bnei-sachnin
Bnei Sakhnin,2015/16,5,32,8,0.25,4769,ihud-bnei-sachnin
Bnei Sakhnin,2016/17,5,26,10,0.38,4769,ihud-bnei-sachnin
Bnei Sakhnin,2017/18,9,24,7,0.29,4769,ihud-bnei-sachnin
Bnei Sakhnin,2018/19,14,21,7,0.33,4769,ihud-bnei-sachnin
Bnei Sakhnin,2019/20,-1,,,,,
Bnei Sakhnin,2020/21,11,15,4,0.27,4769,ihud-bnei-sachnin
Bnei Sakhnin,2021/22,4,28,5,0.18,4769,ihud-bnei-sachnin
Bnei Yehuda,2007/08,9,31,12,0.39,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2008/09,5,38,14,0.37,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2009/10,5,37,7,0.19,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2010/11,5,33,4,0.12,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2011/12,8,38,8,0.21,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2012/13,5,35,6,0.17,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2013/14,13,26,7,0.27,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2014/15,-1,,,,,
Bnei Yehuda,2015/16,7,27,6,0.22,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2016/17,11,20,12,0.6,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2017/18,6,32,7,0.22,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2018/19,5,39,10,0.26,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2019/20,7,23,6,0.26,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2020/21,14,15,4,0.27,9095,bnei-yehuda-tel-aviv
Bnei Yehuda,2021/22,-1,,,,,
FC Ashdod,2007/08,8,36,11,0.31,6105,fc-ashdod
FC Ashdod,2008/09,8,41,11,0.27,6105,fc-ashdod
FC Ashdod,2009/10,6,32,12,0.38,6105,fc-ashdod
FC Ashdod,2010/11,12,39,7,0.18,6105,fc-ashdod
FC Ashdod,2011/12,4,39,8,0.21,6105,fc-ashdod
FC Ashdod,2012/13,7,30,8,0.27,6105,fc-ashdod
FC Ashdod,2013/14,7,28,12,0.43,6105,fc-ashdod
FC Ashdod,2014/15,11,29,5,0.17,6105,fc-ashdod
FC Ashdod,2015/16,-1,,,,,
FC Ashdod,2016/17,9,15,3,0.2,6105,fc-ashdod
FC Ashdod,2017/18,12,22,5,0.23,6105,fc-ashdod
FC Ashdod,2018/19,13,20,4,0.2,6105,fc-ashdod
FC Ashdod,2019/20,10,30,8,0.27,6105,fc-ashdod
FC Ashdod,2020/21,3,37,8,0.22,6105,fc-ashdod
FC Ashdod,2021/22,10,28,3,0.11,6105,fc-ashdod
H Rishon leZion,2007/08,-1,,,,,
H Rishon leZion,2008/09,-1,,,,,
H Rishon leZion,2009/10,-1,,,,,
H Rishon leZion,2010/11,-1,,,,,
H Rishon leZion,2011/12,15,34,5,0.15,554,hapoel-rishon-lezion
H Rishon leZion,2012/13,-1,,,,,
H Rishon leZion,2013/14,-1,,,,,
H Rishon leZion,2014/15,-1,,,,,
H Rishon leZion,2015/16,-1,,,,,
H Rishon leZion,2016/17,-1,,,,,
H Rishon leZion,2017/18,-1,,,,,
H Rishon leZion,2018/19,-1,,,,,
H Rishon leZion,2019/20,-1,,,,,
H Rishon leZion,2020/21,-1,,,,,
H Rishon leZion,2021/22,-1,,,,,
H. Ashkelon,2007/08,-1,,,,,
H. Ashkelon,2008/09,-1,,,,,
H. Ashkelon,2009/10,-1,,,,,
H. Ashkelon,2010/11,14,29,7,0.24,19977,hapoel-ashkelon
H. Ashkelon,2011/12,-1,,,,,
H. Ashkelon,2012/13,-1,,,,,
H. Ashkelon,2013/14,-1,,,,,
H. Ashkelon,2014/15,-1,,,,,
H. Ashkelon,2015/16,-1,,,,,
H. Ashkelon,2016/17,13,15,3,0.2,19977,hapoel-ashkelon
H. Ashkelon,2017/18,13,19,3,0.16,19977,hapoel-ashkelon
H. Ashkelon,2018/19,-1,,,,,
H. Ashkelon,2019/20,-1,,,,,
H. Ashkelon,2020/21,-1,,,,,
H. Ashkelon,2021/22,-1,,,,,
H. Beer Sheva,2007/08,-1,,,,,
H. Beer Sheva,2008/09,-1,,,,,
H. Beer Sheva,2009/10,8,44,9,0.2,2976,hapoel-beer-sheva
H. Beer Sheva,2010/11,11,36,6,0.17,2976,hapoel-beer-sheva
H. Beer Sheva,2011/12,13,33,8,0.24,2976,hapoel-beer-sheva
H. Beer Sheva,2012/13,9,23,8,0.35,2976,hapoel-beer-sheva
H. Beer Sheva,2013/14,2,48,9,0.19,2976,hapoel-beer-sheva
H. Beer Sheva,2014/15,2,47,11,0.23,2976,hapoel-beer-sheva
H. Beer Sheva,2015/16,1,48,13,0.27,2976,hapoel-beer-sheva
H. Beer Sheva,2016/17,1,54,11,0.2,2976,hapoel-beer-sheva
H. Beer Sheva,2017/18,1,43,8,0.19,2976,hapoel-beer-sheva
H. Beer Sheva,2018/19,4,36,10,0.28,2976,hapoel-beer-sheva
H. Beer Sheva,2019/20,4,33,12,0.36,2976,hapoel-beer-sheva
H. Beer Sheva,2020/21,5,31,6,0.19,2976,hapoel-beer-sheva
H. Beer Sheva,2021/22,2,39,10,0.26,2976,hapoel-beer-sheva
H. Jerusalem,2007/08,-1,,,,,
H. Jerusalem,2008/09,-1,,,,,
H. Jerusalem,2009/10,-1,,,,,
H. Jerusalem,2010/11,-1,,,,,
H. Jerusalem,2011/12,-1,,,,,
H. Jerusalem,2012/13,-1,,,,,
H. Jerusalem,2013/14,-1,,,,,
H. Jerusalem,2014/15,-1,,,,,
H. Jerusalem,2015/16,-1,,,,,
H. Jerusalem,2016/17,-1,,,,,
H. Jerusalem,2017/18,-1,,,,,
H. Jerusalem,2018/19,-1,,,,,
H. Jerusalem,2019/20,-1,,,,,
H. Jerusalem,2020/21,-1,,,,,
H. Jerusalem,2021/22,11,19,5,0.26,43119,hapoel-jerusalem
H. Kfar Saba,2007/08,11,37,15,0.41,7532,hapoel-kfar-saba
H. Kfar Saba,2008/09,-1,,,,,
H. Kfar Saba,2009/10,-1,,,,,
H. Kfar Saba,2010/11,-1,,,,,
H. Kfar Saba,2011/12,-1,,,,,
H. Kfar Saba,2012/13,-1,,,,,
H. Kfar Saba,2013/14,-1,,,,,
H. Kfar Saba,2014/15,-1,,,,,
H. Kfar Saba,2015/16,9,19,5,0.26,7532,hapoel-kfar-saba
H. Kfar Saba,2016/17,12,17,5,0.29,7532,hapoel-kfar-saba
H. Kfar Saba,2017/18,-1,,,,,
H. Kfar Saba,2018/19,-1,,,,,
H. Kfar Saba,2019/20,11,22,8,0.36,7532,hapoel-kfar-saba
H. Kfar Saba,2020/21,13,19,6,0.32,7532,hapoel-kfar-saba
H. Kfar Saba,2021/22,-1,,,,,
H. Nof HaGalil,2007/08,-1,,,,,
H. Nof HaGalil,2008/09,-1,,,,,
H. Nof HaGalil,2009/10,-1,,,,,
H. Nof HaGalil,2010/11,-1,,,,,
H. Nof HaGalil,2011/12,-1,,,,,
H. Nof HaGalil,2012/13,-1,,,,,
H. Nof HaGalil,2013/14,-1,,,,,
H. Nof HaGalil,2014/15,-1,,,,,
H. Nof HaGalil,2015/16,-1,,,,,
H. Nof HaGalil,2016/17,-1,,,,,
H. Nof HaGalil,2017/18,-1,,,,,
H. Nof HaGalil,2018/19,-1,,,,,
H. Nof HaGalil,2019/20,-1,,,,,
H. Nof HaGalil,2020/21,-1,,,,,
H. Nof HaGalil,2021/22,14,20,4,0.2,7000,hapoel-nof-hagalil
H. Petah Tikva,2007/08,-1,,,,,
H. Petah Tikva,2008/09,10,30,14,0.47,262,hapoel-petah-tikva
H. Petah Tikva,2009/10,13,23,10,0.43,262,hapoel-petah-tikva
H. Petah Tikva,2010/11,13,36,12,0.33,262,hapoel-petah-tikva
H. Petah Tikva,2011/12,16,28,8,0.29,262,hapoel-petah-tikva
H. Petah Tikva,2012/13,-1,,,,,
H. Petah Tikva,2013/14,-1,,,,,
H. Petah Tikva,2014/15,13,28,8,0.29,262,hapoel-petah-tikva
H. Petah Tikva,2015/16,-1,,,,,
H. Petah Tikva,2016/17,-1,,,,,
H. Petah Tikva,2017/18,-1,,,,,
H. Petah Tikva,2018/19,-1,,,,,
H. Petah Tikva,2019/20,-1,,,,,
H. Petah Tikva,2020/21,-1,,,,,
H. Petah Tikva,2021/22,-1,,,,,
H. Ramat Gan,2007/08,-1,,,,,
H. Ramat Gan,2008/09,-1,,,,,
H. Ramat Gan,2009/10,11,26,8,0.31,2785,hapoel-ramat-gan
H. Ramat Gan,2010/11,16,18,5,0.28,2785,hapoel-ramat-gan
H. Ramat Gan,2011/12,-1,,,,,
H. Ramat Gan,2012/13,13,32,10,0.31,2785,hapoel-ramat-gan
H. Ramat Gan,2013/14,-1,,,,,
H. Ramat Gan,2014/15,-1,,,,,
H. Ramat Gan,2015/16,-1,,,,,
H. Ramat Gan,2016/17,-1,,,,,
H. Ramat Gan,2017/18,-1,,,,,
H. Ramat Gan,2018/19,-1,,,,,
H. Ramat Gan,2019/20,-1,,,,,
H. Ramat Gan,2020/21,-1,,,,,
H. Ramat Gan,2021/22,-1,,,,,
Hakoah Amidar,2007/08,-1,,,,,
Hakoah Amidar,2008/09,11,26,7,0.27,21535,hakoah-amidar-ramat-gan
Hakoah Amidar,2009/10,-1,,,,,
Hakoah Amidar,2010/11,-1,,,,,
Hakoah Amidar,2011/12,-1,,,,,
Hakoah Amidar,2012/13,-1,,,,,
Hakoah Amidar,2013/14,-1,,,,,
Hakoah Amidar,2014/15,-1,,,,,
Hakoah Amidar,2015/16,-1,,,,,
Hakoah Amidar,2016/17,-1,,,,,
Hakoah Amidar,2017/18,-1,,,,,
Hakoah Amidar,2018/19,-1,,,,,
Hakoah Amidar,2019/20,-1,,,,,
Hakoah Amidar,2020/21,-1,,,,,
Hakoah Amidar,2021/22,-1,,,,,
Hapoel Acre,2007/08,-1,,,,,
Hapoel Acre,2008/09,-1,,,,,
Hapoel Acre,2009/10,14,32,5,0.16,6025,hapoel-akko
Hapoel Acre,2010/11,9,43,14,0.33,6025,hapoel-akko
Hapoel Acre,2011/12,9,41,11,0.27,6025,hapoel-akko
Hapoel Acre,2012/13,14,29,11,0.38,6025,hapoel-akko
Hapoel Acre,2013/14,10,24,6,0.25,6025,hapoel-akko
Hapoel Acre,2014/15,14,20,7,0.35,6025,hapoel-akko
Hapoel Acre,2015/16,10,18,4,0.22,6025,hapoel-akko
Hapoel Acre,2016/17,-1,,,,,
Hapoel Acre,2017/18,14,19,7,0.37,6025,hapoel-akko
Hapoel Acre,2018/19,-1,,,,,
Hapoel Acre,2019/20,-1,,,,,
Hapoel Acre,2020/21,-1,,,,,
Hapoel Acre,2021/22,-1,,,,,
Hapoel Hadera,2007/08,-1,,,,,
Hapoel Hadera,2008/09,-1,,,,,
Hapoel Hadera,2009/10,-1,,,,,
Hapoel Hadera,2010/11,-1,,,,,
Hapoel Hadera,2011/12,-1,,,,,
Hapoel Hadera,2012/13,-1,,,,,
Hapoel Hadera,2013/14,-1,,,,,
Hapoel Hadera,2014/15,-1,,,,,
Hapoel Hadera,2015/16,-1,,,,,
Hapoel Hadera,2016/17,-1,,,,,
Hapoel Hadera,2017/18,-1,,,,,
Hapoel Hadera,2018/19,6,30,10,0.33,51931,hapoel-hadera
Hapoel Hadera,2019/20,8,24,5,0.21,51931,hapoel-hadera
Hapoel Hadera,2020/21,9,26,6,0.23,51931,hapoel-hadera
Hapoel Hadera,2021/22,7,22,7,0.32,51931,hapoel-hadera
Hapoel Haifa,2007/08,-1,,,,,
Hapoel Haifa,2008/09,-1,,,,,
Hapoel Haifa,2009/10,12,39,8,0.21,810,hapoel-haifa
Hapoel Haifa,2010/11,7,38,17,0.45,810,hapoel-haifa
Hapoel Haifa,2011/12,12,33,10,0.3,810,hapoel-haifa
Hapoel Haifa,2012/13,10,28,7,0.25,810,hapoel-haifa
Hapoel Haifa,2013/14,8,27,10,0.37,810,hapoel-haifa
Hapoel Haifa,2014/15,12,20,10,0.5,810,hapoel-haifa
Hapoel Haifa,2015/16,13,27,8,0.3,810,hapoel-haifa
Hapoel Haifa,2016/17,8,29,8,0.28,810,hapoel-haifa
Hapoel Haifa,2017/18,4,36,10,0.28,810,hapoel-haifa
Hapoel Haifa,2018/19,7,42,6,0.14,810,hapoel-haifa
Hapoel Haifa,2019/20,6,26,5,0.19,810,hapoel-haifa
